"Data";"Descricao";"Categoria";"Conta";"Cartao";"Valor";"Status";"Compartilhado"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";17.03;"Efetivado";"50/50"
2024-01-19;"ifood";"Restaurante";"Nubank";"Nubank";56.8;"Efetivado";"100% Silvia"
2024-01-19;"Sementes";"Mercado";"Nubank";"Nubank";47.6;"Efetivado";"50/50"
2024-01-19;"Deezer";"Streaming";"Nubank";"Nubank";43.9;"Efetivado";"100% Silvia"
2024-01-25;"ULTRA BOI";"Açougue";"C6";"C6";81.58;"Efetivado";"50/50"
2024-01-25;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";55.59;"Efetivado";"50/50"
2024-01-19;"Guerreiro";"Mercado";"Nubank";"Nubank";45.24;"Efetivado";"50/50"
2024-01-25;"PAES E DOCES CORTEZ";"Padaria";"C6";"C6";41.21;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";23.1;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";16.37;"Efetivado";"50/50"
2024-01-25;"D'ART PAES E DOCES";"Padaria";"C6";"C6";54.9;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";25.42;"Efetivado";"50/50"
2024-01-19;"Farmacia";"Farmácia";"Nubank";"Nubank";129.05;"Efetivado";"100% Silvia"
2024-01-25;"PAES E DOCES CORTEZ";"Padaria";"C6";"C6";21.41;"Efetivado";"50/50"
2024-01-25;"D'ART PAES E DOCES";"Padaria";"C6";"C6";17;"Efetivado";"50/50"
2024-01-25;"REST FERNANDES QUEIROL";"Padaria";"C6";"C6";5.53;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";5.79;"Efetivado";"50/50"
2024-01-25;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";58.12;"Efetivado";"50/50"
2024-01-25;"ULTRA BOI";"Açougue";"C6";"C6";55.73;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";39.54;"Efetivado";"50/50"
2024-01-25;"A. AGUIAR N. ALIMENTO";"Restaurante";"C6";"C6";39.4;"Efetivado";"50/50"
2024-01-25;"PANIFICADORA ALIANCA D";"Padaria";"C6";"C6";30.5;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";16.78;"Efetivado";"50/50"
2024-01-19;"ifood";"Restaurante";"Nubank";"Nubank";123.5;"Efetivado";"100% Silvia"
2024-01-25;"D'ART PAES E DOCES";"Padaria";"C6";"C6";14.8;"Efetivado";"50/50"
2024-01-25;"D'ART PAES E DOCES";"Padaria";"C6";"C6";8.4;"Efetivado";"50/50"
2024-01-19;"Guerreiro";"Mercado";"Nubank";"Nubank";32.96;"Efetivado";"50/50"
2024-01-25;"D'ART PAES E DOCES";"Padaria";"C6";"C6";8.7;"Efetivado";"50/50"
2024-01-02;"Convenio mãe";"Convenio - mãe";"Bradesco";"";1080;"Efetivado";"100% Silvia"
2024-01-02;"TX rendimento tesouro";"Impostos";"Bradesco";"";195.13;"Efetivado";"100% Silvia"
2024-01-02;"TX rendimento tesouro";"Impostos";"Bradesco";"";95.66;"Efetivado";"100% Silvia"
2024-01-02;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-01-02;"Rendimento tesouro";"Rendimentos";"Bradesco";"";535.89;"Efetivado";"100% Silvia"
2024-01-25;"MARCOS TONOUTI";"Feira";"C6";"C6";30;"Efetivado";"50/50"
2024-01-25;"PAG*HENRIQUEYUKIO";"Feira";"C6";"C6";10;"Efetivado";"50/50"
2024-01-25;"SONDA SAO CAETANO";"Mercado";"C6";"C6";68.98;"Efetivado";"50/50"
2024-01-05;"Celular";"Celular";"Bradesco";"";52.38;"Efetivado";"100% Silvia"
2024-01-25;"REST FERNANDES QUEIROL";"Padaria";"C6";"C6";17;"Efetivado";"50/50"
2024-01-25;"Olive Garden";"Restaurante";"C6";"C6";546.47;"Efetivado";"50/50"
2024-01-25;"RIACHUELO CENTER NORTE";"Presentes";"C6";"C6";219.8;"Efetivado";"100% Silvia"
2024-01-25;"PAG*SPBWPARQUESE";"Passeios";"C6";"C6";177.5;"Efetivado";"50/50"
2024-01-25;"PIZZARIA VERSALHES";"Restaurante";"C6";"C6";109;"Efetivado";"50/50"
2024-01-25;"SYMPLA *UNIVERSIDADE D";"Passeios";"C6";"C6";105;"Efetivado";"50/50"
2024-01-25;"SOFISERV AUTO POSTO";"Combustível";"C6";"C6";60;"Efetivado";"50/50"
2024-01-25;"NEUPARK";"Passeios";"C6";"C6";30;"Efetivado";"50/50"
2024-01-06;"estacionamento ";"Estacionamento";"C6";"";21;"Efetivado";"50/50"
2024-01-25;"PAG*SPBWPARQUESE";"Passeios";"C6";"C6";6;"Efetivado";"50/50"
2024-01-25;"D'ART PAES E DOCES";"Padaria";"C6";"C6";5.6;"Efetivado";"50/50"
2024-01-25;"PAES E DOCES CORTEZ";"Padaria";"C6";"C6";83.9;"Efetivado";"50/50"
2024-01-25;"SOFISERV AUTO POSTO L";"Combustível";"C6";"C6";50;"Efetivado";"50/50"
2024-01-25;"AVENIDA BRASIL";"Padaria";"C6";"C6";28.93;"Efetivado";"50/50"
2024-01-25;"PAG*ESTACIONAMENTO";"Estacionamento";"C6";"C6";25;"Efetivado";"50/50"
2024-01-25;"ULTRA BOI";"Açougue";"C6";"C6";99.74;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";41.79;"Efetivado";"50/50"
2024-01-25;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";29.63;"Efetivado";"50/50"
2024-01-25;"POSTO SERV AVANTGARDE";"Combustível";"C6";"C6";96.26;"Efetivado";"50/50"
2024-01-25;"PANIF LA PLAZA";"Padaria";"C6";"C6";40.29;"Efetivado";"100% Silvia"
2024-01-09;"estacionamento ";"Estacionamento";"C6";"";15;"Efetivado";"50/50"
2024-01-19;"Restaurante";"Restaurante";"Nubank";"Nubank";105.49;"Efetivado";"100% Silvia"
2024-01-25;"PANETTERIA ZN";"Padaria";"C6";"C6";57.4;"Efetivado";"50/50"
2024-01-25;"D'ART PAES E DOCES";"Padaria";"C6";"C6";5.64;"Efetivado";"50/50"
2024-01-11;"Pizza";"Restaurante";"Bradesco";"";45;"Efetivado";"100% Silvia"
2024-01-19;"Estacionamento";"Estacionamento";"Nubank";"Nubank";16;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";8.71;"Efetivado";"50/50"
2024-01-11;"Aluguel";"Aluguel";"Nubank";"";1419.7;"Efetivado";"50/50"
2024-02-19;"Restaurante";"Restaurante";"Nubank";"Nubank";10;"Efetivado";"100% Silvia"
2024-01-25;"D'ART PAES E DOCES";"Padaria";"C6";"C6";17;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";6.79;"Efetivado";"50/50"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";68.39;"Efetivado";"50/50"
2024-01-25;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";65.55;"Efetivado";"50/50"
2024-01-25;"ULTRA BOI";"Açougue";"C6";"C6";61.57;"Efetivado";"50/50"
2024-01-25;"PANIFICADORA ALIANCA D";"Padaria";"C6";"C6";30.5;"Efetivado";"50/50"
2024-02-19;"Guerreiro";"Mercado";"Nubank";"Nubank";8.88;"Efetivado";"50/50"
2024-01-15;"Net mãe";"Net - mãe";"Bradesco";"";347.1;"Efetivado";"100% Silvia"
2024-02-19;"Amazon Prime";"Streaming";"Nubank";"Nubank";119;"Efetivado";"100% Silvia"
2024-01-15;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-01-15;"Salario";"Salario";"Bradesco";"";12325;"Efetivado";"100% Silvia"
2024-01-16;"Aniversario Nelson";"Presentes";"Nubank";"";2065;"Efetivado";"100% Silvia"
2024-01-25;"REST FERNANDES QUEIROL";"Padaria";"C6";"C6";5.29;"Efetivado";"50/50"
2024-01-18;"enel ";"Energia";"C6";"";108.37;"Efetivado";"50/50"
2024-01-18;"Pizza";"Restaurante";"Bradesco";"";45;"Efetivado";"100% Silvia"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";28.37;"Efetivado";"50/50"
2024-01-18;"dep nelsob";"Deposito Nelson";"C6";"";1600;"Efetivado";"50/50"
2024-03-10;"CASA DE ADELIA-RESTAU";"Restaurante";"C6";"C6";66.68;"Efetivado";"50/50"
2024-02-19;"ifood";"Restaurante";"Nubank";"Nubank";58.8;"Efetivado";"100% Silvia"
2024-02-19;"ifood";"Restaurante";"Nubank";"Nubank";123.79;"Efetivado";"100% Silvia"
2024-03-10;"ULTRA BOI";"Açougue";"C6";"C6";88.65;"Efetivado";"50/50"
2024-03-10;"ROCHINHA SORVETES";"Restaurante";"C6";"C6";57.56;"Efetivado";"50/50"
2024-03-10;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";51;"Efetivado";"50/50"
2024-03-10;"PANIFICADORA ALIANCA D";"Padaria";"C6";"C6";29.5;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";6.79;"Efetivado";"50/50"
2024-03-10;"CARREFOUR LIMAO";"Mercado";"C6";"C6";254.02;"Efetivado";"50/50"
2024-02-19;"Amazon";"Restaurante";"Nubank";"Nubank";124.7;"Efetivado";"100% Silvia"
2024-03-10;"CASA DE ADELIA-RESTAU";"Restaurante";"C6";"C6";77.07;"Efetivado";"50/50"
2024-02-19;"Deezer";"Streaming";"Nubank";"Nubank";43.9;"Efetivado";"100% Silvia"
2024-12-10;"padaria";"Padaria";"C6";"C6";21;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";15.51;"Efetivado";"50/50"
2024-01-22;"condominio ";"Condominio";"C6";"";838.66;"Efetivado";"50/50"
2024-01-22;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-01-22;"Salario";"Salario";"Bradesco";"";540;"Efetivado";"100% Silvia"
2024-01-24;"gas ";"Gas";"C6";"";89.82;"Efetivado";"50/50"
2024-02-19;"Guerreiro";"Mercado";"Nubank";"Nubank";39.55;"Efetivado";"50/50"
2024-02-19;"Farmacia";"Farmácia";"Nubank";"Nubank";39.39;"Efetivado";"100% Silvia"
2024-03-10;"D'ART PAES E DOCES";"Padaria";"C6";"C6";14.75;"Efetivado";"50/50"
2024-02-19;"ifood";"Restaurante";"Nubank";"Nubank";120.29;"Efetivado";"100% Silvia"
2024-03-10;"MANIA DE CHURRASCO";"Restaurante";"C6";"C6";84.6;"Efetivado";"50/50"
2024-03-10;"PRECOLANDIA";"Móveis";"C6";"C6";74.3;"Efetivado";"50/50"
2024-01-26;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-02-19;"ifood";"Restaurante";"Nubank";"Nubank";45.8;"Efetivado";"100% Silvia"
2024-01-26;"estacionamento ";"Estacionamento";"C6";"";17;"Efetivado";"50/50"
2024-03-10;"HAVANNA SANTANA PARQUE";"Restaurante";"C6";"C6";15.62;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";6.79;"Efetivado";"50/50"
2024-01-27;"Aniversario Nelson";"Presentes";"Nubank";"";2065;"Efetivado";"100% Silvia"
2024-03-10;"ULTRA BOI";"Açougue";"C6";"C6";74.1;"Efetivado";"50/50"
2024-03-10;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";45.96;"Efetivado";"50/50"
2024-03-10;"PANIFICADORA ALIANCA D";"Padaria";"C6";"C6";17;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";2.79;"Efetivado";"50/50"
2024-02-19;"Amazon - Livros";"Cursos";"Nubank";"Nubank";39.14;"Efetivado";"100% Silvia"
2024-03-10;"8 SEGUNDOS";"Restaurante";"C6";"C6";76.8;"Efetivado";"50/50"
2024-01-30;"Salario";"Salario";"Bradesco";"";5772;"Efetivado";"100% Silvia"
2024-03-10;"D'ART PAES E DOCES";"Padaria";"C6";"C6";5.85;"Efetivado";"50/50"
2024-02-01;"Convenio mãe";"Convenio - mãe";"Bradesco";"";1080;"Efetivado";"100% Silvia"
2024-02-19;"Guerreiro";"Mercado";"Nubank";"Nubank";32.54;"Efetivado";"50/50"
2024-02-02;"pix Nelson ";"Deposito Nelson";"C6";"";2000;"Efetivado";"50/50"
2024-03-10;"PAG*TIAGOMELOALVES";"Restaurante";"C6";"C6";83;"Efetivado";"50/50"
2024-03-10;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";69.68;"Efetivado";"50/50"
2024-03-10;"PANIFICADORA ALIANCA D";"Padaria";"C6";"C6";38.9;"Efetivado";"50/50"
2024-03-10;"ULTRA BOI";"Açougue";"C6";"C6";27.24;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";6.79;"Efetivado";"50/50"
2024-03-10;"AMERICA CENTER NORTE";"Restaurante";"C6";"C6";142.91;"Efetivado";"50/50"
2024-03-10;"PAES E DOCES CORTEZ";"Padaria";"C6";"C6";41.79;"Efetivado";"50/50"
2024-02-04;"estacionamento ";"Estacionamento";"C6";"";21;"Efetivado";"50/50"
2024-03-10;"SHOPPING CENTER NORTE";"Combustível";"C6";"C6";9.9;"Efetivado";"50/50"
2024-02-05;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-02-05;"Celular";"Celular";"Bradesco";"";52.38;"Efetivado";"100% Silvia"
2024-03-10;"POSTO SERV AVANTGARDE";"Combustível";"C6";"C6";80;"Efetivado";"50/50"
2024-03-10;"PAES E DOCES CORTEZ";"Padaria";"C6";"C6";22.28;"Efetivado";"50/50"
2024-03-10;"PANIF LA PLAZA";"Padaria";"C6";"C6";38.87;"Efetivado";"100% Silvia"
2024-02-07;"estacionamento ";"Estacionamento";"C6";"";21;"Efetivado";"50/50"
2024-02-19;"Uber";"Uber";"Nubank";"Nubank";67.36;"Efetivado";"100% Silvia"
2024-02-19;"Restaurante";"Restaurante";"Nubank";"Nubank";52.4;"Efetivado";"100% Silvia"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";50.2;"Efetivado";"50/50"
2024-02-19;"ifood";"Restaurante";"Nubank";"Nubank";29.9;"Efetivado";"100% Silvia"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";6.59;"Efetivado";"50/50"
2024-02-19;"ifood";"Restaurante";"Nubank";"Nubank";79.9;"Efetivado";"100% Silvia"
2024-03-10;"263RAIA";"Farmácia";"C6";"C6";59.7;"Efetivado";"100% Silvia"
2024-03-10;"PAG*THISISORVETESECON";"Restaurante";"C6";"C6";36.9;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";72.51;"Efetivado";"50/50"
2024-03-10;"D'ART PAES E DOCES";"Padaria";"C6";"C6";27;"Efetivado";"50/50"
2024-03-10;"FRUTASCIDO";"Restaurante";"C6";"C6";18;"Efetivado";"50/50"
2024-03-10;"PAG*NOVAPENINHA";"Padaria";"C6";"C6";8;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";18.03;"Efetivado";"50/50"
2024-03-10;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";65.19;"Efetivado";"50/50"
2024-03-10;"PAG*THISISORVETESECON";"Restaurante";"C6";"C6";34.3;"Efetivado";"50/50"
2024-03-10;"D'ART PAES E DOCES";"Padaria";"C6";"C6";28;"Efetivado";"50/50"
2024-02-14;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";4.03;"Efetivado";"50/50"
2024-02-14;"Aluguel";"Aluguel";"Nubank";"";1419.7;"Efetivado";"50/50"
2024-02-15;"IPTU";"Impostos";"Bradesco";"";1382.83;"Efetivado";"50/50"
2024-02-15;"Net mãe";"Net - mãe";"Bradesco";"";347.76;"Efetivado";"100% Silvia"
2024-02-15;"IPTU";"Impostos";"Bradesco";"";285.71;"Efetivado";"50/50"
2024-02-15;"IPTU";"Impostos";"Bradesco";"";285.71;"Efetivado";"50/50"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";146.19;"Efetivado";"100% Silvia"
2024-02-15;"Salario";"Salario";"Bradesco";"";12325;"Efetivado";"100% Silvia"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";6.79;"Efetivado";"50/50"
2024-03-19;"Cabelereira";"Beleza";"Nubank";"Nubank";150;"Efetivado";"100% Silvia"
2024-03-10;"ULTRA BOI";"Açougue";"C6";"C6";89.15;"Efetivado";"50/50"
2024-03-10;"PANIFICADORA ALIANCA D";"Padaria";"C6";"C6";28.19;"Efetivado";"50/50"
2024-03-10;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";15.23;"Efetivado";"50/50"
2024-03-10;"CASA DE ADELIA-RESTAU";"Restaurante";"C6";"C6";81.6;"Efetivado";"50/50"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";66.7;"Efetivado";"100% Silvia"
2024-03-19;"Guerreiro";"Mercado";"Nubank";"Nubank";35.06;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";13.18;"Efetivado";"50/50"
2024-03-10;"PAG*NOVAPENINHA";"Padaria";"C6";"C6";8;"Efetivado";"50/50"
2024-02-19;"enel ";"Energia";"C6";"";98.32;"Efetivado";"50/50"
2024-02-19;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-02-20;"condominio ";"Condominio";"C6";"";877.44;"Efetivado";"50/50"
2024-02-20;"Viagens passagem";"Passagem";"Bradesco";"";400;"Efetivado";"50/50"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";120.29;"Efetivado";"100% Silvia"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";62.49;"Efetivado";"50/50"
2024-03-19;"Deezer";"Streaming";"Nubank";"Nubank";43.9;"Efetivado";"100% Silvia"
2024-03-19;"Restaurante";"Restaurante";"Nubank";"Nubank";32.8;"Efetivado";"100% Silvia"
2024-03-19;"Estacionamento";"Estacionamento";"Nubank";"Nubank";22;"Efetivado";"50/50"
2024-03-10;"PAG*MAONAMASSA";"Restaurante";"C6";"C6";21;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";18.72;"Efetivado";"50/50"
2024-03-10;"ULTRA BOI";"Açougue";"C6";"C6";65.77;"Efetivado";"50/50"
2024-03-10;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";44.11;"Efetivado";"50/50"
2024-03-10;"PANIFICADORA ALIANCA D";"Padaria";"C6";"C6";29.5;"Efetivado";"50/50"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";49.99;"Efetivado";"100% Silvia"
2024-03-10;"D'ART PAES E DOCES";"Padaria";"C6";"C6";18;"Efetivado";"50/50"
2024-03-10;"AUTOBAN";"Pedagio";"C6";"C6";12.4;"Efetivado";"50/50"
2024-03-10;"AUTOBAN";"Pedagio";"C6";"C6";12.4;"Efetivado";"50/50"
2024-03-10;"SUCESSO REDE DE RESTAU";"Restaurante";"C6";"C6";6;"Efetivado";"50/50"
2024-03-19;"Tenis";"Roupas";"Nubank";"Nubank";299.99;"Efetivado";"100% Silvia"
2024-02-26;"comgas ";"Gas";"C6";"";100.49;"Efetivado";"50/50"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";86.29;"Efetivado";"100% Silvia"
2024-02-26;"Roupas";"Roupas";"Bradesco";"";69.38;"Efetivado";"100% Silvia"
2024-03-10;"EMPORIO DIVINA SEMENT";"Mercado";"C6";"C6";60.28;"Efetivado";"50/50"
2024-02-26;"Pizza";"Restaurante";"Bradesco";"";54;"Efetivado";"100% Silvia"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";33.72;"Efetivado";"50/50"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";4.49;"Efetivado";"50/50"
2024-02-28;"Venda Crypto";"Rendimentos";"Nubank";"";27.52;"Efetivado";"100% Silvia"
2024-02-28;"Venda Crypto";"Rendimentos";"Nubank";"";34.74;"Efetivado";"100% Silvia"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";120.29;"Efetivado";"100% Silvia"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";56.81;"Efetivado";"100% Silvia"
2024-03-10;"MR MERCADOS";"Mercado";"C6";"C6";18.47;"Efetivado";"50/50"
2024-02-29;"Salario";"Salario";"Bradesco";"";58430;"Efetivado";"100% Silvia"
2024-04-10;"PAG*MAONAMASSA";"Restaurante";"C6";"C6";41;"Efetivado";"50/50"
2024-04-10;"ROCHINHA SORVETES";"Restaurante";"C6";"C6";74.2;"Efetivado";"50/50"
2024-04-10;"OFICINA DOS SABORES";"Restaurante";"C6";"C6";44.9;"Efetivado";"50/50"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";11.29;"Efetivado";"50/50"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";9.99;"Efetivado";"50/50"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";54.54;"Efetivado";"50/50"
2024-04-10;"PAG*EMPORIOE";"Restaurante";"C6";"C6";41.4;"Efetivado";"50/50"
2024-04-10;"FEIRA LIVRE";"Feira";"C6";"C6";20;"Efetivado";"50/50"
2024-04-10;"FRUTASCIDO";"Feira";"C6";"C6";10;"Efetivado";"50/50"
2024-04-10;"PAG*THAINAALVESVIEIRA";"Feira";"C6";"C6";10;"Efetivado";"50/50"
2024-04-10;"PAG*DOISIRMAOS";"Feira";"C6";"C6";6;"Efetivado";"50/50"
2024-04-10;"PAG*JULIOCESARDOSSANT";"Feira";"C6";"C6";5;"Efetivado";"50/50"
2024-03-04;"Convenio mãe";"Convenio - mãe";"Bradesco";"";1080;"Efetivado";"100% Silvia"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";119.8;"Efetivado";"100% Silvia"
2024-03-04;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-03-05;"Celular";"Celular";"Bradesco";"";52.38;"Efetivado";"100% Silvia"
2024-04-10;"D'ART PAES E DOCES";"Padaria";"C6";"C6";5.8;"Efetivado";"50/50"
2024-04-10;"ULTRA BOI";"Açougue";"C6";"C6";133.46;"Efetivado";"50/50"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";39.5;"Efetivado";"50/50"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";22.33;"Efetivado";"50/50"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";34.25;"Efetivado";"50/50"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";98.8;"Efetivado";"100% Silvia"
2024-04-10;"HORTIFRUTI E SUPERMERC";"Feira";"C6";"C6";63.74;"Efetivado";"50/50"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";12.58;"Efetivado";"50/50"
2024-04-10;"D'ART PAES E DOCES";"Padaria";"C6";"C6";7.8;"Efetivado";"50/50"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";7.49;"Efetivado";"50/50"
2024-04-10;"PAG*DIVINOFOGAO";"Restaurante";"C6";"C6";74.88;"Efetivado";"50/50"
2024-03-19;"ifood";"Restaurante";"Nubank";"Nubank";46.3;"Efetivado";"100% Silvia"
2024-03-10;"estacionamento ";"Estacionamento";"C6";"";17;"Efetivado";"50/50"
2024-04-10;"BOBS SHOPPING SANTANA";"Restaurante";"C6";"C6";9.4;"Efetivado";"50/50"
2024-03-11;"Pizza";"Restaurante";"Bradesco";"";65;"Efetivado";"100% Silvia"
2024-04-10;"TUTTO BOLO";"Restaurante";"C6";"C6";22;"Efetivado";"50/50"
2024-03-11;"Aluguel";"Aluguel";"Nubank";"";1419.7;"Efetivado";"50/50"
2024-04-10;"POSTO SERV AVANTGARDE";"Combustível";"C6";"C6";50;"Efetivado";"50/50"
2024-04-10;"PANIF LA PLAZA";"Padaria";"C6";"C6";37.78;"Efetivado";"100% Silvia"
2024-04-10;"PANIFICADORA ALIANCA D";"Padaria";"C6";"C6";5.13;"Efetivado";"50/50"
2024-04-19;"ifood";"Restaurante";"Nubank";"Nubank";106.59;"Efetivado";"100% Silvia"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";30.96;"Efetivado";"50/50"
2024-03-15;"Net mãe";"Net - mãe";"Bradesco";"";347.73;"Efetivado";"100% Silvia"
2024-04-10;"MR MERCADOS";"Mercado";"C6";"C6";41.2;"Efetivado";"50/50"
2024-04-10;"PAG*THISISORVETESECON";"Restaurante";"C6";"C6";39.5;"Efetivado";"50/50"
2024-03-15;"Salario";"Salario";"Bradesco";"";12325;"Efetivado";"100% Silvia"
2024-04-10;"D'ART PAES E DOCES";"Padaria";"C6";"C6";14.7;"Efetivado";"50/50"
2024-04-10;"Gasto parcelado - Parcela 1/12; Curso Italiano";"Cursos";"C6";"C6";199.87;"Efetivado";"50/50"
2024-05-10;"Gasto parcelado - Parcela 2/12; Curso Italiano";"Cursos";"C6";"C6";199.87;"Efetivado";"50/50"
2024-06-10;"Gasto parcelado - Parcela 3/12; Curso Italiano";"Cursos";"C6";"C6";199.87;"Efetivado";"50/50"
2024-07-10;"Gasto parcelado - Parcela 4/12; Curso Italiano";"Cursos";"C6";"C6";199.87;"Efetivado";"50/50"
